Time(s),Actual_State_Of_Charge,Estimated_State_Of_Charge
7.35,0.972222,0.978041
7.36,0.972222,0.978015
7.37,0.972222,0.977873
7.38,0.972222,0.977703
7.39,0.972222,0.977100
7.40,0.972222,0.977261
7.41,0.972222,0.976452
7.42,0.972222,0.975613
7.43,0.972222,0.975705
7.44,0.972222,0.975589
7.45,0.972222,0.974287
7.46,0.972222,0.974426
7.47,0.972222,0.974227
7.48,0.972222,0.974571
7.49,0.972222,0.974484
7.50,0.972222,0.973942
7.51,0.972222,0.974975
7.52,0.972222,0.975253
7.53,0.972222,0.974653
7.54,0.972222,0.975326
7.55,0.972222,0.974301
7.56,0.972222,0.974930
7.57,0.972222,0.974164
7.58,0.972222,0.975223
7.59,0.972222,0.974648
7.60,0.972222,0.975541
7.61,0.972222,0.974782
7.62,0.972222,0.974591
7.63,0.972222,0.974467
7.64,0.972222,0.974755
7.65,0.972222,0.973717
7.66,0.972222,0.974130
7.67,0.972222,0.974121
7.68,0.972222,0.973980
7.69,0.972222,0.974643
7.70,0.972222,0.974615
7.71,0.972222,0.974793
7.72,0.972222,0.973694
7.73,0.972222,0.973169
7.74,0.972222,0.973065
7.75,0.972222,0.972363
7.76,0.972222,0.972035
7.77,0.972222,0.971568
7.78,0.972222,0.970533
7.79,0.972222,0.970246
7.80,0.972222,0.970524
7.81,0.972222,0.971115
7.82,0.972222,0.970177
7.83,0.972222,0.970471
7.84,0.972222,0.969366
7.85,0.972222,0.968575
7.86,0.972222,0.970006
7.87,0.972222,0.970625
7.88,0.972222,0.970844
7.89,0.972222,0.969558
7.90,0.972222,0.969518
7.91,0.972222,0.969371
7.92,0.972222,0.969998
7.93,0.972222,0.969920
7.94,0.972222,0.970126
7.95,0.972222,0.969562
7.96,0.972222,0.969915
7.97,0.972222,0.968587
7.98,0.972222,0.969574
7.99,0.972222,0.969654
8.00,0.972222,0.969919
8.01,0.972222,0.968565
8.02,0.972222,0.968406
8.03,0.972222,0.969292
8.04,0.972222,0.969475
8.05,0.972222,0.968729
8.06,0.972222,0.969057
8.07,0.972222,0.969805
8.08,0.972222,0.969019
8.09,0.972222,0.969713
8.10,0.972222,0.971147
8.11,0.972222,0.971084
8.12,0.972222,0.971661
8.13,0.972222,0.971939
8.14,0.972222,0.973505
8.15,0.972222,0.972633
8.16,0.972222,0.973345
8.17,0.972222,0.972984
8.18,0.972222,0.973303
8.19,0.972222,0.972159
8.20,0.972222,0.973325
8.21,0.972222,0.972929
8.22,0.972222,0.972678
8.23,0.972222,0.972443
8.24,0.972222,0.972541
8.25,0.972222,0.972441
8.26,0.972222,0.973292
8.27,0.972222,0.972858
8.28,0.972222,0.972821
8.29,0.972222,0.972875
8.30,0.972222,0.972567
8.31,0.972222,0.971500
8.32,0.972222,0.971852
8.33,0.972222,0.972240
8.34,0.972222,0.972519
8.35,0.972222,0.972891
8.36,0.972222,0.972546
8.37,0.972222,0.972493
8.38,0.972222,0.971471
8.39,0.972222,0.970838
8.40,0.972222,0.969994
8.41,0.972222,0.970015
8.42,0.972222,0.970830
8.43,0.972222,0.971746
8.44,0.972222,0.971108
8.45,0.972222,0.969866
8.46,0.972222,0.970095
8.47,0.972222,0.971247
8.48,0.972222,0.970501
8.49,0.972222,0.970518
8.50,0.972222,0.970874
8.51,0.972222,0.970276
8.52,0.972222,0.970536
8.53,0.972222,0.971116
8.54,0.972222,0.971543
8.55,0.972222,0.971497
8.56,0.972222,0.970982
8.57,0.972222,0.970937
8.58,0.972222,0.970366
8.59,0.972222,0.970889
